id,umur_tahun,lingkar_pinggang
1,10,"69.6"
2,11,"71.8"
3,12,"73.8"
4,13,"75.6"
5,14,77
6,15,"78.3"
7,16,"79.1"
8,17,"79.8"
9,18,"80.1"
